pokemon,final_evolution,final_help_interval,fruit,type,main_skill,final_evolution_step,carry_limit,ingredient,ingredient_num
妙蛙種子,妙蛙花,2800,金枕果,食材型,食材獲取S,3,17,甜甜蜜,2
妙蛙草,妙蛙花,2800,金枕果,食材型,食材獲取S,3,17,甜甜蜜,2
妙蛙花,妙蛙花,2800,金枕果,食材型,食材獲取S,3,17,甜甜蜜,2
小火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,19,豆製肉,2
火恐龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,19,豆製肉,2
噴火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,19,豆製肉,2
傑尼龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,17,哞哞鮮奶,2
卡咪龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,17,哞哞鮮奶,2
水箭龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,17,哞哞鮮奶,2
綠毛蟲,巴大蝶,2600,木子果,樹果型,食材獲取S,3,21,甜甜蜜,1
鐵甲蛹,巴大蝶,2600,木子果,樹果型,食材獲取S,3,21,甜甜蜜,1
巴大蝶,巴大蝶,2600,木子果,樹果型,食材獲取S,3,21,甜甜蜜,1
小拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,16,特選蘋果,1
拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,16,特選蘋果,1
阿柏蛇,阿柏怪,3700,零餘果,樹果型,活力填充S,2,14,豆製肉,1
阿柏怪,阿柏怪,3700,零餘果,樹果型,活力填充S,2,14,豆製肉,1
皮丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,21,特選蘋果,1
皮卡丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,21,特選蘋果,1
雷丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,21,特選蘋果,1
寶寶丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,13,甜甜蜜,1
胖丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,13,甜甜蜜,1
胖可丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,13,甜甜蜜,1
地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,16,好眠番茄,2
三地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,16,好眠番茄,2
喵喵,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,12,哞哞鮮奶,1
貓老大,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,12,哞哞鮮奶,1
可達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,11,放鬆可可,1
哥達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,11,放鬆可可,1
猴怪,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,17,豆製肉,1
火爆猴,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,17,豆製肉,1
卡蒂狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,16,火辣香草,1
風速狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,16,火辣香草,1
喇叭芽,大食花,2800,金枕果,食材型,活力填充S,3,17,好眠番茄,2
口呆花,大食花,2800,金枕果,食材型,活力填充S,3,17,好眠番茄,2
大食花,大食花,2800,金枕果,食材型,活力填充S,3,17,好眠番茄,2
小拳石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,16,萌綠大豆,2
隆隆石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,16,萌綠大豆,2
隆隆岩,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,16,萌綠大豆,2
呆呆獸,呆呆王,3400,橙橙果,技能型,活力療癒S,2,11,放鬆可可,1
呆殼獸,呆殼獸,3800,橙橙果,技能型,活力療癒S,2,10,放鬆可可,1
呆呆王,呆呆王,3400,橙橙果,技能型,活力療癒S,2,11,放鬆可可,1
小磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,13,純粹油,1
三合一磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,13,純粹油,1
自爆磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,13,純粹油,1
嘟嘟,嘟嘟利,2400,椰木果,樹果型,活力填充S,2,21,萌綠大豆,1
嘟嘟利,嘟嘟利,2400,椰木果,樹果型,活力填充S,2,21,萌綠大豆,1
鬼斯,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,18,火辣香草,2
鬼斯通,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,18,火辣香草,2
耿鬼,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,18,火辣香草,2
卡拉卡拉,嘎啦嘎啦,3500,勿花果,樹果型,活力填充S,2,15,暖暖薑,1
