,pokemon,final_evolution,final_help_interval,fruit,type,main_skill,final_evolution_step,carry_limit,ingredient,ingredient_num
1,妙蛙種子,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
2,妙蛙草,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
3,妙蛙花,妙蛙花,2800,金枕果,食材型,食材獲取S,3,27,甜甜蜜,2
4,小火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
5,火恐龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
6,噴火龍,噴火龍,2400,蘋野果,食材型,食材獲取S,3,29,豆製肉,2
7,傑尼龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
8,卡咪龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
9,水箭龜,水箭龜,2800,橙橙果,食材型,食材獲取S,3,27,哞哞鮮奶,2
10,綠毛蟲,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
11,鐵甲蛹,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
12,巴大蝶,巴大蝶,2600,木子果,樹果型,食材獲取S,3,31,甜甜蜜,1
13,小拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,21,特選蘋果,1
14,拉達,拉達,3200,柿仔果,樹果型,活力填充S,2,21,特選蘋果,1
15,阿柏蛇,阿柏怪,3700,零餘果,樹果型,活力填充S,2,19,豆製肉,1
16,阿柏怪,阿柏怪,3700,零餘果,樹果型,活力填充S,2,19,豆製肉,1
17,皮丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
18,皮卡丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
19,雷丘,雷丘,2200,萄葡果,樹果型,能量填充S,3,31,特選蘋果,1
20,寶寶丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
21,胖丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
22,胖可丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
23,地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,21,好眠番茄,2
24,三地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,21,好眠番茄,2
25,喵喵,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,17,哞哞鮮奶,1
26,貓老大,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,17,哞哞鮮奶,1
27,可達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,16,放鬆可可,1
28,哥達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,16,放鬆可可,1
29,猴怪,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,22,豆製肉,1
30,火爆猴,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,22,豆製肉,1
31,卡蒂狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,21,火辣香草,1
32,風速狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,21,火辣香草,1
33,喇叭芽,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
34,口呆花,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
35,大食花,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
36,小拳石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
37,隆隆石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
